2026-03-17T15:12:14.068357 | discord | cost=$0.038186700000000004 | tokens={"input_tokens": 3, "cache_creation_input_tokens": 9638, "cache_read_input_tokens": 6284, "output_tokens": 10, "server_tool_use": {"web_search_requests": 0, "web_fetch_requests": 0}, "service_tier": "standard", "cache_creation": {"ephemeral_1h_input_tokens": 9638, "ephemeral_5m_input_tokens": 0}, "inference_geo": "", "iterations": [], "speed": "standard"}
2026-03-17T15:12:29.287614 | discord | cost=$0.007648200000000001 | tokens={"input_tokens": 3, "cache_creation_input_tokens": 786, "cache_read_input_tokens": 15139, "output_tokens": 10, "server_tool_use": {"web_search_requests": 0, "web_fetch_requests": 0}, "service_tier": "standard", "cache_creation": {"ephemeral_1h_input_tokens": 786, "ephemeral_5m_input_tokens": 0}, "inference_geo": "", "iterations": [], "speed": "standard"}
2026-03-17T15:21:03.933083 | discord | cost=$0.0077231999999999995 | tokens={"input_tokens": 3, "cache_creation_input_tokens": 802, "cache_read_input_tokens": 15139, "output_tokens": 11, "server_tool_use": {"web_search_requests": 0, "web_fetch_requests": 0}, "service_tier": "standard", "cache_creation": {"ephemeral_1h_input_tokens": 802, "ephemeral_5m_input_tokens": 0}, "inference_geo": "", "iterations": [], "speed": "standard"}
2026-03-17T16:12:17.339968 | discord | cost=$0.0076632 | tokens={"input_tokens": 3, "cache_creation_input_tokens": 790, "cache_read_input_tokens": 15139, "output_tokens": 10, "server_tool_use": {"web_search_requests": 0, "web_fetch_requests": 0}, "service_tier": "standard", "cache_creation": {"ephemeral_1h_input_tokens": 790, "ephemeral_5m_input_tokens": 0}, "inference_geo": "", "iterations": [], "speed": "standard"}
2026-03-17_1700 | cron | cost=0.11857485 | session=ff88f716-523f-4400-9ea1-88cf388d34da
2026-03-18_0010 | cron | cost=0.09595799999999999 | session=9a6af544-d337-45f0-aced-00f8d849b879
2026-03-18T00:15:10.461039 | discord | cost=$0.0304122 | tokens={"input_tokens": 3, "cache_creation_input_tokens": 7384, "cache_read_input_tokens": 8544, "output_tokens": 10, "server_tool_use": {"web_search_requests": 0, "web_fetch_requests": 0}, "service_tier": "standard", "cache_creation": {"ephemeral_1h_input_tokens": 7384, "ephemeral_5m_input_tokens": 0}, "inference_geo": "", "iterations": [], "speed": "standard"}
2026-03-18T00:15:50.238752 | discord | cost=$0.008683199999999999 | tokens={"input_tokens": 3, "cache_creation_input_tokens": 802, "cache_read_input_tokens": 15139, "output_tokens": 75, "server_tool_use": {"web_search_requests": 0, "web_fetch_requests": 0}, "service_tier": "standard", "cache_creation": {"ephemeral_1h_input_tokens": 802, "ephemeral_5m_input_tokens": 0}, "inference_geo": "", "iterations": [], "speed": "standard"}
2026-03-18T00:16:27.174838 | discord | cost=$0.01934565 | tokens={"input_tokens": 4, "cache_creation_input_tokens": 1653, "cache_read_input_tokens": 31083, "output_tokens": 254, "server_tool_use": {"web_search_requests": 0, "web_fetch_requests": 0}, "service_tier": "standard", "cache_creation": {"ephemeral_1h_input_tokens": 1653, "ephemeral_5m_input_tokens": 0}, "inference_geo": "", "iterations": [], "speed": "standard"}
2026-03-18T00:20:35.351677 | discord | cost=$0.0306093 | tokens={"input_tokens": 4, "cache_creation_input_tokens": 3574, "cache_read_input_tokens": 31216, "output_tokens": 522, "server_tool_use": {"web_search_requests": 0, "web_fetch_requests": 0}, "service_tier": "standard", "cache_creation": {"ephemeral_1h_input_tokens": 3574, "ephemeral_5m_input_tokens": 0}, "inference_geo": "", "iterations": [], "speed": "standard"}
2026-03-18T00:21:59.760315 | discord | cost=$0.03234645 | tokens={"input_tokens": 5, "cache_creation_input_tokens": 3337, "cache_read_input_tokens": 47909, "output_tokens": 363, "server_tool_use": {"web_search_requests": 0, "web_fetch_requests": 0}, "service_tier": "standard", "cache_creation": {"ephemeral_1h_input_tokens": 3337, "ephemeral_5m_input_tokens": 0}, "inference_geo": "", "iterations": [], "speed": "standard"}
